Iteration	bike	car	pt	walk
0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.02813968707240169	0.036528050449164136	5.354274495805819E-4	0.9347968350288536
5	0.02813968707240169	0.036528050449164136	5.354274495805819E-4	0.9347968350288536
6	0.02813968707240169	0.036528050449164136	5.354274495805819E-4	0.9347968350288536
7	0.02813968707240169	0.036528050449164136	5.354274495805819E-4	0.9347968350288536
8	0.02813968707240169	0.036528050449164136	5.354274495805819E-4	0.9347968350288536
9	0.02813968707240169	0.036528050449164136	5.354274495805819E-4	0.9347968350288536
10	0.02813968707240169	0.036528050449164136	5.354274495805819E-4	0.9347968350288536
